time,COUNT,url,num_Objects,isJS_Num_Same,isJS_Object_Same,Difference_Count,Different_Files,Difference
2024-03-31 17:31:21,1,https://www.cnn.com,58,NO,Yes,0,,No differences found.
2024-03-31 17:39:43,2,https://www.cnn.com,56,NO,NO,2," , gpt.js , xd.sjs",The difference is very large
2024-03-31 17:48:55,3,https://www.cnn.com,56,YES,NO,2," , gpt.js , xd.sjs",The difference is very large
2024-03-31 17:55:33,1,https://www.cricbuzz.com,23,NO,Yes,0,,No differences found.
2024-03-31 18:01:14,2,https://www.cricbuzz.com,21,NO,NO,1," , gpt.js",The difference is very large
2024-03-31 18:06:52,3,https://www.cricbuzz.com,23,NO,NO,3," , gpt.js , gtm.js?id=GTM-PGNCT7 , gtm.js?id=GTM-PGNCT7",The difference is very large
2024-03-31 18:12:32,4,https://www.cricbuzz.com,21,NO,NO,3," , gpt.js , gtm.js?id=GTM-PGNCT7 , gtm.js?id=GTM-PGNCT7",The difference is very large
2024-03-31 17:28:17,1,https://www.diretta.it,32,NO,Yes,0,,No differences found.
2024-03-31 17:33:51,2,https://www.diretta.it,32,YES,NO,6," , destination?id=DC-13175818&l=dataLayer&cx=c , destination?id=DC-13175818&l=dataLayer&cx=c , js?id=G-PR4TNKN90Z&l=dataLayer&cx=c , gtm.js?id=GTM-PWJ3NQ , gtm.js?id=GTM-PWJ3NQ , gtm.js?id=GTM-PWJ3NQ",The difference is very large
2024-03-31 17:39:48,3,https://www.diretta.it,31,NO,NO,4," , destination?id=DC-13175818&l=dataLayer&cx=c , destination?id=DC-13175818&l=dataLayer&cx=c , js?id=G-PR4TNKN90Z&l=dataLayer&cx=c , gtm.js?id=GTM-PWJ3NQ",The difference is very large
2024-03-31 17:46:39,4,https://www.diretta.it,32,NO,NO,4," , js?id=G-PR4TNKN90Z&l=dataLayer&cx=c , js?id=G-PR4TNKN90Z&l=dataLayer&cx=c , gtm.js?id=GTM-PWJ3NQ , gtm.js?id=GTM-PWJ3NQ",The difference is very large
2024-03-31 17:54:25,1,https://www.doubtnut.com,31,NO,Yes,0,,No differences found.
2024-03-31 18:00:58,2,https://www.doubtnut.com,31,YES,NO,2," , js?id=G-GQEWWBWLLB&l=dataLayer&cx=c , gtm.js?id=GTM-TMTVFGF",The difference is very large
2024-03-31 18:06:47,3,https://www.doubtnut.com,31,YES,NO,2," , js?id=G-GQEWWBWLLB&l=dataLayer&cx=c , gtm.js?id=GTM-TMTVFGF",The difference is very large
2024-03-31 18:12:26,4,https://www.doubtnut.com,31,YES,NO,3," , js?id=G-GQEWWBWLLB&l=dataLayer&cx=c , js?id=G-GQEWWBWLLB&l=dataLayer&cx=c , gtm.js?id=GTM-TMTVFGF",The difference is very large
2024-03-31 17:53:00,1,https://www.dzexams.com,3,NO,Yes,0,,No differences found.
2024-03-31 17:58:18,2,https://www.dzexams.com,3,YES,Yes,0,,No differences found.
2024-03-31 18:03:38,3,https://www.dzexams.com,3,YES,Yes,0,,No differences found.
2024-03-31 18:08:52,4,https://www.dzexams.com,3,YES,Yes,0,,No differences found.
2024-03-31 17:55:19,1,https://www.ebay.com,15,NO,Yes,0,,No differences found.
2024-03-31 18:01:02,2,https://www.ebay.com,15,YES,NO,1," , inflowcomponent?callback=Inflow.cb&fromGH=true&input=%7B%22pageId%22%3A4432023%2C%22gbhEnabled%22%3Atrue%2C%22gbhSiteId%22%3A900%2C%22gbhLanguage%22%3A%22en-US%22%7D",The difference is very large
2024-03-31 18:06:42,3,https://www.ebay.com,15,YES,NO,1," , inflowcomponent?callback=Inflow.cb&fromGH=true&input=%7B%22pageId%22%3A4432023%2C%22gbhEnabled%22%3Atrue%2C%22gbhSiteId%22%3A900%2C%22gbhLanguage%22%3A%22en-US%22%7D",The difference is very large
2024-03-31 18:12:10,4,https://www.ebay.com,14,NO,Yes,0,,No differences found.
2024-03-31 17:05:45,1,https://www.goojara.to,0,NO,Yes,0,,No differences found.
2024-03-31 17:10:55,2,https://www.goojara.to,0,YES,Yes,0,,No differences found.
2024-03-31 17:16:07,3,https://www.goojara.to,0,YES,Yes,0,,No differences found.
2024-03-31 17:21:14,4,https://www.goojara.to,0,YES,Yes,0,,No differences found.
2024-03-31 17:33:01,1,https://www.gov.br,29,NO,Yes,0,,No differences found.
2024-03-31 17:40:33,2,https://www.gov.br,29,YES,NO,1," , register_function-cachekey-bc8559f6164c90e5a066a6d4b2e6d6a1.js",The difference is very large
2024-03-31 17:48:20,3,https://www.gov.br,29,YES,NO,1," , register_function-cachekey-bc8559f6164c90e5a066a6d4b2e6d6a1.js",The difference is very large
2024-03-31 17:06:11,1,https://www.gov.uk,5,NO,Yes,0,,No differences found.
2024-03-31 17:11:41,2,https://www.gov.uk,5,YES,Yes,0,,No differences found.
2024-03-31 17:16:56,3,https://www.gov.uk,5,YES,Yes,0,,No differences found.
